Project: UFH Alice Campus - Finance Offices Conversion (ADAPTIVE),,,,,,,,,,
Project Number: UFH-FINANCE-2026-ADAPTIVE,,,,,,,,,,
Date: 2026-01-08 22:28:59,,,,,,,,,,
Software: DELLQS-AI,,,,,,,,,,
,,,,,,,,,,
Item Number,Section,Subsection,Description,Unit,Quantity,Rate,Amount,Calculation Notes,Reference Drawing,Measurement Rule
PL.1.2,PLUMBING & DRAINAGE,PL.1 WC SUITES,"Wall hung WC pan vitreous china with concealed cistern, seat and cover, support frame, flush plate, complete with connections, all white",No,5.0,0.0,0.0,,,ASAQS SSM7 / DQRules
PL.1.3,PLUMBING & DRAINAGE,PL.1 WC SUITES,"Doc M WC suite 480mm high pan, close coupled cistern, seat and cover, complete with grab rails, all white",No,2.0,0.0,0.0,,,ASAQS SSM7 / DQRules
PL.2.1,PLUMBING & DRAINAGE,PL.2 URINALS,"Wall hung urinal vitreous china with concealed auto-flush system, waste outlet, including spreader and trap, all white",No,2.0,0.0,0.0,,,ASAQS SSM7 / DQRules
PL.3.1,PLUMBING & DRAINAGE,PL.3 WASH HAND BASINS,"Wall hung wash hand basin 500mm vitreous china with pillar mixer tap, bottle trap, waste, brackets, all white/chrome",No,2.0,0.0,0.0,,,ASAQS SSM7 / DQRules
PL.3.2,PLUMBING & DRAINAGE,PL.3 WASH HAND BASINS,"Vanity counter-mounted wash hand basin 450mm vitreous china with deck mixer tap, bottle trap, waste, all white/chrome",No,5.0,0.0,0.0,,,ASAQS SSM7 / DQRules
PL.3.3,PLUMBING & DRAINAGE,PL.3 WASH HAND BASINS,"Doc M accessible wash hand basin with lever taps (150mm handles), bottle trap, waste, support brackets, all white/chrome",No,2.0,0.0,0.0,,,ASAQS SSM7 / DQRules
PL.4.1,PLUMBING & DRAINAGE,PL.4 SINKS,"Single bowl stainless steel sink 450x400mm with mixer tap and swivel spout, strainer waste, bottle trap, complete with clips",No,1.0,0.0,0.0,,,ASAQS SSM7 / DQRules
PL.5.1,PLUMBING & DRAINAGE,PL.5 COLD WATER PIPEWORK,"25mm HDPE Class 10 pipe including fittings, clips, sleeves through walls",m,48.0,0.0,0.0,,,ASAQS SSM7 / DQRules
PL.5.2,PLUMBING & DRAINAGE,PL.5 COLD WATER PIPEWORK,"22mm copper Class 0 pipe including fittings, clips, sleeves",m,38.0,0.0,0.0,,,ASAQS SSM7 / DQRules
PL.5.3,PLUMBING & DRAINAGE,PL.5 COLD WATER PIPEWORK,"15mm copper Class 0 pipe including fittings, clips, sleeves",m,65.0,0.0,0.0,,,ASAQS SSM7 / DQRules
PL.6.1,PLUMBING & DRAINAGE,PL.6 HOT WATER PIPEWORK,"22mm copper Class 0 pipe including fittings, clips, insulation",m,28.0,0.0,0.0,,,ASAQS SSM7 / DQRules
PL.6.2,PLUMBING & DRAINAGE,PL.6 HOT WATER PIPEWORK,"15mm copper Class 0 pipe including fittings, clips, insulation",m,45.0,0.0,0.0,,,ASAQS SSM7 / DQRules
PL.7.1,PLUMBING & DRAINAGE,PL.7 WASTE & VENT PIPES,"110mm uPVC waste pipe including fittings, clips",m,28.0,0.0,0.0,,,ASAQS SSM7 / DQRules
PL.7.2,PLUMBING & DRAINAGE,PL.7 WASTE & VENT PIPES,"50mm uPVC waste pipe including fittings, clips",m,38.0,0.0,0.0,,,ASAQS SSM7 / DQRules
PL.7.3,PLUMBING & DRAINAGE,PL.7 WASTE & VENT PIPES,"40mm uPVC waste pipe including fittings, clips",m,18.0,0.0,0.0,,,ASAQS SSM7 / DQRules
PL.7.4,PLUMBING & DRAINAGE,PL.7 WASTE & VENT PIPES,110mm uPVC vent pipe through roof including flashing,m,10.0,0.0,0.0,,,ASAQS SSM7 / DQRules
PL.7.5,PLUMBING & DRAINAGE,PL.7 WASTE & VENT PIPES,50mm uPVC vent pipe including fittings,m,14.0,0.0,0.0,,,ASAQS SSM7 / DQRules
PL.8.1,PLUMBING & DRAINAGE,PL.8 VALVES & EQUIPMENT,25mm gate valve,No,1.0,0.0,0.0,,,ASAQS SSM7 / DQRules
PL.8.2,PLUMBING & DRAINAGE,PL.8 VALVES & EQUIPMENT,22mm ball valve,No,5.0,0.0,0.0,,,ASAQS SSM7 / DQRules
PL.8.3,PLUMBING & DRAINAGE,PL.8 VALVES & EQUIPMENT,15mm angle service valve,No,22.0,0.0,0.0,,,ASAQS SSM7 / DQRules
PL.8.4,PLUMBING & DRAINAGE,PL.8 VALVES & EQUIPMENT,25mm non-return valve,No,1.0,0.0,0.0,,,ASAQS SSM7 / DQRules
PL.8.5,PLUMBING & DRAINAGE,PL.8 VALVES & EQUIPMENT,"150L electric geyser horizontal with thermostat, drip tray and connections",No,1.0,0.0,0.0,,,ASAQS SSM7 / DQRules
PL.8.6,PLUMBING & DRAINAGE,PL.8 VALVES & EQUIPMENT,Expansion vessel 8L,No,1.0,0.0,0.0,,,ASAQS SSM7 / DQRules
PL.9.1,PLUMBING & DRAINAGE,PL.9 BELOW GROUND DRAINAGE,110mm uPVC below ground drain pipe in trench including bedding,m,48.0,0.0,0.0,,,ASAQS SSM7 / DQRules
PL.9.2,PLUMBING & DRAINAGE,PL.9 BELOW GROUND DRAINAGE,160mm uPVC below ground drain pipe in trench including bedding,m,18.0,0.0,0.0,,,ASAQS SSM7 / DQRules
PL.9.3,PLUMBING & DRAINAGE,PL.9 BELOW GROUND DRAINAGE,Precast concrete inspection chamber 600x450 including cover,No,4.0,0.0,0.0,,,ASAQS SSM7 / DQRules
PL.9.4,PLUMBING & DRAINAGE,PL.9 BELOW GROUND DRAINAGE,110mm rodding eye including cover,No,5.0,0.0,0.0,,,ASAQS SSM7 / DQRules
PL.9.5,PLUMBING & DRAINAGE,PL.9 BELOW GROUND DRAINAGE,110mm gully complete with grating,No,3.0,0.0,0.0,,,ASAQS SSM7 / DQRules
PL.9.6,PLUMBING & DRAINAGE,PL.9 BELOW GROUND DRAINAGE,50L grease trap complete with cover,No,1.0,0.0,0.0,,,ASAQS SSM7 / DQRules
PL.10.1,PLUMBING & DRAINAGE,PL.10 ACCESSORIES,Toilet roll holder stainless steel,No,9.0,0.0,0.0,,,ASAQS SSM7 / DQRules
PL.10.2,PLUMBING & DRAINAGE,PL.10 ACCESSORIES,Toilet brush holder stainless steel,No,9.0,0.0,0.0,,,ASAQS SSM7 / DQRules
PL.10.3,PLUMBING & DRAINAGE,PL.10 ACCESSORIES,Grab rail 600mm stainless steel,No,6.0,0.0,0.0,,,ASAQS SSM7 / DQRules
PL.10.4,PLUMBING & DRAINAGE,PL.10 ACCESSORIES,Mirror 600x450mm with polished edges,No,9.0,0.0,0.0,,,ASAQS SSM7 / DQRules
PL.10.5,PLUMBING & DRAINAGE,PL.10 ACCESSORIES,Soap dispenser stainless steel,No,9.0,0.0,0.0,,,ASAQS SSM7 / DQRules
PL.10.6,PLUMBING & DRAINAGE,PL.10 ACCESSORIES,Paper towel dispenser stainless steel,No,7.0,0.0,0.0,,,ASAQS SSM7 / DQRules
PL.10.7,PLUMBING & DRAINAGE,PL.10 ACCESSORIES,Sanitary bin stainless steel,No,6.0,0.0,0.0,,,ASAQS SSM7 / DQRules
PL.10.8,PLUMBING & DRAINAGE,PL.10 ACCESSORIES,Bib tap chrome with hose union,No,2.0,0.0,0.0,,,ASAQS SSM7 / DQRules
EW.1.1,BILL 22 - EXTERNAL WORKS,EW.1 SITE CLEARANCE,"Strip topsoil average 150mm deep, stockpile on site for reuse",m2,150.0,0.0,0.0,,,ASAQS SSM7 / DQRules
EW.1.2,BILL 22 - EXTERNAL WORKS,EW.1 SITE CLEARANCE,"Break up and remove existing concrete hardstanding average 100mm thick, cart away and dispose off site",m2,85.0,0.0,0.0,,,ASAQS SSM7 / DQRules
EW.1.3,BILL 22 - EXTERNAL WORKS,EW.1 SITE CLEARANCE,"Clear site of vegetation, grass and weeds",m2,150.0,0.0,0.0,,,ASAQS SSM7 / DQRules
EW.2.1,BILL 22 - EXTERNAL WORKS,EW.2 PAVING,"60mm thick Bosun Smooth Ethnic interlocking concrete pavers, charcoal colour, laid on sand bedding in herringbone pattern, joints filled with sand, vibrated and compacted (light duty)",m2,108.0,0.0,0.0,,,ASAQS SSM7 / DQRules
EW.2.2,BILL 22 - EXTERNAL WORKS,EW.2 PAVING,"80mm thick Bosun Smooth Ethnic interlocking concrete pavers, charcoal colour, complete as before (heavy duty)",m2,26.0,0.0,0.0,,,ASAQS SSM7 / DQRules
EW.2.3,BILL 22 - EXTERNAL WORKS,EW.2 PAVING,"Cutting pavers to curves, angles and at edges",m,85.0,0.0,0.0,,,ASAQS SSM7 / DQRules
EW.3.1,BILL 22 - EXTERNAL WORKS,EW.3 EDGING,"Precast concrete kerb 200 x 100mm on and including 100mm thick concrete haunching grade 15/19, mortar jointed",m,70.0,0.0,0.0,,,ASAQS SSM7 / DQRules
EW.3.2,BILL 22 - EXTERNAL WORKS,EW.3 EDGING,Paving edge restraint including pegs,m,18.0,0.0,0.0,,,ASAQS SSM7 / DQRules
EW.4.1,BILL 22 - EXTERNAL WORKS,EW.4 SURFACE DRAINAGE,"100mm wide ACO channel drain including grating, bedded in concrete",m,14.0,0.0,0.0,,,ASAQS SSM7 / DQRules
EW.4.2,BILL 22 - EXTERNAL WORKS,EW.4 SURFACE DRAINAGE,"100mm gully with grating, connection to drain",No,3.0,0.0,0.0,,,ASAQS SSM7 / DQRules
EW.4.3,BILL 22 - EXTERNAL WORKS,EW.4 SURFACE DRAINAGE,110mm uPVC stormwater drain in trench including bedding,m,10.0,0.0,0.0,,,ASAQS SSM7 / DQRules
EW.5.1,BILL 22 - EXTERNAL WORKS,EW.5 RAMP,"Concrete ramp 1:12 gradient including non-slip finish, handrails both sides",m2,12.0,0.0,0.0,NEW - from Section 4,,ASAQS SSM7 / DQRules
PS.1.1,BILL 23 - PROVISIONAL SUMS & PC ITEMS,PS.1 PRIME COST SUMS,"PC Sum for landscaping works to external areas including planting, irrigation and establishment maintenance, all to landscape architect's specification when issued",P.Sum,100000.0,0.0,0.0,,,ASAQS SSM7 / DQRules
PS.1.2,BILL 23 - PROVISIONAL SUMS & PC ITEMS,PS.1 PRIME COST SUMS,PC Sum for boundary treatment/fencing allowance as may be directed,P.Sum,50000.0,0.0,0.0,,,ASAQS SSM7 / DQRules
PS.1.3,BILL 23 - PROVISIONAL SUMS & PC ITEMS,PS.1 PRIME COST SUMS,PC Sum for specialist glazing works if glass specification varies from measured,P.Sum,50000.0,0.0,0.0,,,ASAQS SSM7 / DQRules
PS.1.4,BILL 23 - PROVISIONAL SUMS & PC ITEMS,PS.1 PRIME COST SUMS,"PC Sum for roof timber structure including trusses, purlins, bracing and installation - INCREASED FOR CONCRETE TILE LOAD",P.Sum,180000.0,0.0,0.0,Increased from R150k for heavier BMI tile load,,ASAQS SSM7 / DQRules
PS.2.4,BILL 23 - PROVISIONAL SUMS & PC ITEMS,PS.2 PROVISIONAL SUMS,Provisional sum for dewatering if extensive pumping required,P.Sum,15000.0,0.0,0.0,,,ASAQS SSM7 / DQRules
PS.3.1,BILL 23 - PROVISIONAL SUMS & PC ITEMS,PS.3 DAYWORK,Provisional sum for daywork - labour,P.Sum,25000.0,0.0,0.0,,,ASAQS SSM7 / DQRules
PS.3.2,BILL 23 - PROVISIONAL SUMS & PC ITEMS,PS.3 DAYWORK,Provisional sum for daywork - plant and equipment,P.Sum,10000.0,0.0,0.0,,,ASAQS SSM7 / DQRules
PS.3.3,BILL 23 - PROVISIONAL SUMS & PC ITEMS,PS.3 DAYWORK,Provisional sum for daywork - materials,P.Sum,15000.0,0.0,0.0,,,ASAQS SSM7 / DQRules
,,,,,,,,,,
,,,TOTAL,,,,0.00,,,
